Saison;Nachname;Vorname;LfdNr;Gesamt;AnzSpiele;Tore;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
2025/26;Andrade;Pablo;1;700;15;0;0;0;0;0;90;45;42;40;68;57;77;0;29;54;45;33;0;0;16;0;60;0;24;0;0;20;0;0;0;0;;;;
2025/26;Antero;Eduardo;2;63;2;0;0;0;0;0;0;59;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2025/26;Befus;Tim;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2025/26;Bettmer;Leonard;4;19;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;1;1;1;0;0;0;0;;;;
2025/26;Böggemann;Janes;5;534;13;0;0;0;75;51;0;70;7;10;1;38;38;58;90;0;23;58;0;0;0;0;0;0;0;0;0;0;15;0;0;0;;;;
2025/26;Borgmann;Jonas;6;877;18;0;0;10;5;0;35;21;45;90;0;19;90;90;90;90;68;38;0;0;45;78;2;1;60;0;0;0;0;0;0;0;;;;
2025/26;Demirdag;Engin;7;1669;25;2;88;81;86;90;76;90;90;0;90;90;90;90;90;78;90;68;45;0;45;87;17;13;30;27;1;27;90;0;0;0;;;;
2025/26;Fousseni;Adinane;8;362;11;1;90;18;0;56;0;0;21;14;90;45;0;0;0;0;0;0;1;0;0;1;0;0;0;17;9;0;0;0;0;0;;;;
2025/26;Guetat;Omar;9;271;5;1;80;45;0;90;45;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2025/26;Haliti;Asdren;10;316;6;0;3;45;90;90;56;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2025/26;Heinz;Merlin;11;1706;21;0;90;90;62;45;90;90;90;77;59;0;0;0;0;0;0;38;90;75;90;90;90;90;90;90;90;90;90;0;0;0;;;;
2025/26;Hellwig;Noah;12;1;1;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2025/26;Homann;Marvin;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2025/26;Klöpper;Marius;14;2340;26;4;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;0;90;90;90;90;0;0;0;;;;
2025/26;Kötter;Marco;15;1006;19;4;0;0;0;0;0;0;0;5;9;34;14;33;90;0;23;23;45;90;68;66;31;82;90;74;63;90;76;0;0;0;;;;
2025/26;Matsubara;Daiki;16;412;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;45;4;90;90;61;23;28;0;26;0;0;0;;;;
2025/26;Meller;Nils;17;177;8;0;0;0;37;0;0;0;0;0;23;11;53;3;0;13;0;0;0;34;0;0;0;0;3;0;0;0;0;0;0;0;;;;
2025/26;Merfeld;Fabian;18;11;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2025/26;Merker;Tim;19;1708;22;1;90;45;90;45;69;0;0;85;90;0;0;0;7;65;90;90;90;51;90;90;81;90;90;90;90;90;90;0;0;0;;;;
2025/26;Möllers;Henrik;20;1374;19;3;72;90;66;65;45;90;45;51;0;0;0;0;0;0;0;0;60;90;86;90;74;78;67;68;82;90;65;0;0;0;;;;
