Saison;Spiel;Nachname;Vorname;Einsatz;Gruppe
2025/26;5;Andrade;Pablo;Voll;01_Startelf
2025/26;6;Andrade;Pablo;1-45;01_Startelf
2025/26;7;Andrade;Pablo;49-90;02_Bank
2025/26;8;Andrade;Pablo;51-90;02_Bank
2025/26;9;Andrade;Pablo;1-68;01_Startelf
2025/26;10;Andrade;Pablo;1-57;01_Startelf
2025/26;11;Andrade;Pablo;1-77;01_Startelf
2025/26;13;Andrade;Pablo;62-90;02_Bank
2025/26;14;Andrade;Pablo;1-54;01_Startelf
2025/26;15;Andrade;Pablo;46-90;02_Bank
2025/26;16;Andrade;Pablo;58-90;02_Bank
2025/26;6;Antero;Eduardo;1-59;01_Startelf
2025/26;7;Antero;Eduardo;46-49;02_Bank
2025/26;1;Bettmer;Leonard;Kader;03_Kader
2025/26;14;Bettmer;Leonard;Kader;03_Kader
2025/26;2;Böggemann;Janes;Kader;03_Kader
2025/26;3;Böggemann;Janes;1-75;01_Startelf
2025/26;4;Böggemann;Janes;40-90;02_Bank
2025/26;6;Böggemann;Janes;1-70;01_Startelf
2025/26;7;Böggemann;Janes;84-90;02_Bank
2025/26;8;Böggemann;Janes;81-90;02_Bank
2025/26;9;Böggemann;Janes;90-90;02_Bank
2025/26;10;Böggemann;Janes;46-83;02_Bank
2025/26;11;Böggemann;Janes;53-90;02_Bank
2025/26;12;Böggemann;Janes;1-58;01_Startelf
2025/26;13;Böggemann;Janes;Voll;01_Startelf
2025/26;14;Böggemann;Janes;Kader;03_Kader
2025/26;15;Böggemann;Janes;68-90;02_Bank
2025/26;16;Böggemann;Janes;1-58;01_Startelf
2025/26;2;Borgmann;Jonas;81-90;02_Bank
2025/26;3;Borgmann;Jonas;86-90;02_Bank
2025/26;4;Borgmann;Jonas;Kader;03_Kader
2025/26;5;Borgmann;Jonas;56-90;02_Bank
2025/26;6;Borgmann;Jonas;70-90;02_Bank
2025/26;7;Borgmann;Jonas;46-90;02_Bank
2025/26;8;Borgmann;Jonas;Voll;01_Startelf
2025/26;10;Borgmann;Jonas;72-90;02_Bank
2025/26;11;Borgmann;Jonas;1-90;01_Startelf
2025/26;12;Borgmann;Jonas;Voll;01_Startelf
2025/26;13;Borgmann;Jonas;Voll;01_Startelf
2025/26;14;Borgmann;Jonas;Voll;01_Startelf
2025/26;15;Borgmann;Jonas;1-68;01_Startelf
2025/26;16;Borgmann;Jonas;53-90;02_Bank
2025/26;1;Demirdag;Engin;1-88;01_Startelf
2025/26;2;Demirdag;Engin;1-81;01_Startelf
2025/26;3;Demirdag;Engin;1-86;01_Startelf
2025/26;4;Demirdag;Engin;Voll;01_Startelf
2025/26;5;Demirdag;Engin;1-76;01_Startelf
2025/26;6;Demirdag;Engin;Voll;01_Startelf
2025/26;7;Demirdag;Engin;Voll;01_Startelf
2025/26;9;Demirdag;Engin;Voll;01_Startelf
2025/26;10;Demirdag;Engin;Voll;01_Startelf
2025/26;11;Demirdag;Engin;Voll;01_Startelf
2025/26;12;Demirdag;Engin;Voll;01_Startelf
2025/26;13;Demirdag;Engin;Voll;01_Startelf
2025/26;14;Demirdag;Engin;1-78;01_Startelf
2025/26;15;Demirdag;Engin;Voll;01_Startelf
2025/26;16;Demirdag;Engin;1-68;01_Startelf
2025/26;1;Fousseni;Adinane;Voll;01_Startelf
2025/26;2;Fousseni;Adinane;73-90;02_Bank
2025/26;3;Fousseni;Adinane;Kader;03_Kader
2025/26;4;Fousseni;Adinane;1-56;01_Startelf
2025/26;7;Fousseni;Adinane;70-90;02_Bank
2025/26;8;Fousseni;Adinane;77-90;02_Bank
2025/26;9;Fousseni;Adinane;Voll;01_Startelf
2025/26;10;Fousseni;Adinane;1-45;01_Startelf
2025/26;1;Guetat;Omar;1-80;01_Startelf
2025/26;2;Guetat;Omar;1-45;01_Startelf
2025/26;4;Guetat;Omar;Voll;01_Startelf
2025/26;5;Guetat;Omar;1-45;01_Startelf
2025/26;9;Guetat;Omar;Kader;03_Kader
2025/26;12;Guetat;Omar;Kader;03_Kader
2025/26;13;Guetat;Omar;80-90;02_Bank
2025/26;1;Haliti;Asdren;88-90;02_Bank
2025/26;2;Haliti;Asdren;46-90;02_Bank
2025/26;3;Haliti;Asdren;Voll;01_Startelf
2025/26;4;Haliti;Asdren;Voll;01_Startelf
2025/26;5;Haliti;Asdren;1-56;01_Startelf
2025/26;6;Haliti;Asdren;59-90;02_Bank
2025/26;1;Heinz;Merlin;Voll;01_Startelf
2025/26;2;Heinz;Merlin;Voll;01_Startelf
2025/26;3;Heinz;Merlin;1-62;01_Startelf
2025/26;4;Heinz;Merlin;1-45;01_Startelf
2025/26;5;Heinz;Merlin;Voll;01_Startelf
2025/26;6;Heinz;Merlin;Voll;01_Startelf
2025/26;7;Heinz;Merlin;Voll;01_Startelf
2025/26;8;Heinz;Merlin;1-77;01_Startelf
2025/26;9;Heinz;Merlin;1-59;01_Startelf
2025/26;11;Heinz;Merlin;Kader;03_Kader
2025/26;13;Heinz;Merlin;Kader;03_Kader
2025/26;14;Heinz;Merlin;Kader;03_Kader
2025/26;16;Heinz;Merlin;53-90;02_Bank
2025/26;4;Homann;Marvin;Kader;03_Kader
2025/26;1;Klöpper;Marius;Voll;01_Startelf
2025/26;2;Klöpper;Marius;Voll;01_Startelf
2025/26;3;Klöpper;Marius;Voll;01_Startelf
2025/26;4;Klöpper;Marius;Voll;01_Startelf
2025/26;5;Klöpper;Marius;Voll;01_Startelf
2025/26;6;Klöpper;Marius;Voll;01_Startelf
2025/26;7;Klöpper;Marius;Voll;01_Startelf
2025/26;8;Klöpper;Marius;Voll;01_Startelf
2025/26;9;Klöpper;Marius;Voll;01_Startelf
2025/26;10;Klöpper;Marius;Voll;01_Startelf
2025/26;11;Klöpper;Marius;Voll;01_Startelf
2025/26;12;Klöpper;Marius;Voll;01_Startelf
2025/26;13;Klöpper;Marius;Voll;01_Startelf
2025/26;14;Klöpper;Marius;Voll;01_Startelf
